prompt,probability,reasoning
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.15,"Need probability. High income, rare buyer, price low, previous purchase last week, none today, early season. Likely low but some chance due to prior visit. Maybe 15%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper bought here last week and has bought nothing yet today. It is late in the season.",0.15,"Need probability. High income, rare buyer, price low, previous purchase last week, none today, late season. Likely low chance maybe 15%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is mid-season.",0.04,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has bought nothing yet today. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 1.40. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.12,"Need probability low because high income, rare buyer, price $2, already bought one today. Maybe 10%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 4. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.12,"Need probability. High income, rarely buys, budget stall $2, bought last week, already bought 1 today spending ~6 (so maybe other items). Early season. Likely low chance. Maybe 15%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 6. It is mid-season.",0.12,"Need probability low because high income, rare buyer, price $2, already spent 6 today. Maybe 10%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has already bought 2 item(s) today, spending about 8. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.12,"Need probability. High income, rare buyer, budget stall $2, bought last week, none today, early season. Likely low chance maybe 10-15%. I'll output 12."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is late in the season.",0.12,"Need probability. High income, rare buyer, budget stall $2, bought last week, none today, late season. Likely low chance maybe 10-15%. I'll output 12."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper bought here last week and has bought nothing yet today. It is mid-season.",0.15,"Need probability. High income, rare buyer, price low, previous purchase last week, hasn't bought today, mid-season. Likely low chance maybe 15%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.05,"Need probability low because high income, rare buyer, price $2, already spent 2 today, late season. Maybe 5%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.12,"Need probability low because high income, rare buyer, price $2, already spent 2 today. Maybe 10%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is late in the season.",0.35,"Need probability. High income, rare buyer, but regular for 2 weeks. Budget stall price low. Late season may reduce demand. Maybe moderate chance ~30%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is mid-season.",0.3,"Need probability. High income, rarely buys, but regular buyer for 2 weeks. Budget stall price low. Mid-season maybe less demand. I'd say moderate chance ~30%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has bought here 3 weeks running and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.05,"Need probability low because high income, rare buyer, price $2, already spent 2 today, late season. Maybe 5%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has bought here 3 weeks running and has bought nothing yet today. It is late in the season.",0.35,"Need probability. High income, rare buyer, but regular 3 weeks. Budget stall price low. Late season maybe less demand. I'd say moderate chance ~35%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has bought here 3 weeks running and has bought nothing yet today. It is mid-season.",0.3,"Need probability. High income, rarely buys, but regular buyer 3 weeks. Budget stall price low. Mid-season maybe less demand. I'd say moderate chance ~30%."
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 1. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 4. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is mid-season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 4. It is mid-season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 8. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has already bought 2 item(s) today, spending about 8. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has bought nothing yet today. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a budget stall priced at 2.00. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 4.20. The shopper bought here last week and has bought nothing yet today. It is late in the season.",0.15,"Need probability. High income, rare buyer, premium stall, price 4.20, bought last week, none today, late season. Likely low but some chance due to previous purchase. Maybe 15%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 4.20. The shopper bought here last week and has bought nothing yet today. It is mid-season.",0.15,"Need probability. High income, rare buyer, premium stall price 4.20, bought last week, none today, mid-season. Likely low but some chance due to previous purchase. Maybe 15%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 4.20. The shopper has never bought here and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 4.20. The shopper has never bought here and has already bought 1 item(s) today, spending about 6. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 4.20. The shopper has never bought here and has bought nothing yet today. It is early in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 4.20. The shopper has never bought here and has bought nothing yet today. It is late in the season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 4.20. The shopper has never bought here and has bought nothing yet today. It is mid-season.",0.05,Need probability low. Maybe 5%.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is early in the season.",0.12,"Need probability low because rare buyer, price high, early season. Maybe 15%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is late in the season.",0.12,Need probability low. Maybe 15.
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.08,"Need probability low because high income but rarely buys, price 6, already bought 1 today, spent 2 total? maybe 2 items? unclear. Likely low chance ~10%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper bought here last week and has already bought 1 item(s) today, spending about 6. It is mid-season.",0.12,"Need probability low because rare buyer, price high, already bought one today. Maybe 10%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper bought here last week and has bought nothing yet today. It is early in the season.",0.15,"Need probability. High income, rare buyer, premium stall price 6, bought last week, none today, early season. Likely low chance maybe 15%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper bought here last week and has bought nothing yet today. It is late in the season.",0.15,"Need probability. High income, rare buyer, premium stall price 6, bought last week, none today, late season. Likely low but some chance. Maybe 15%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper bought here last week and has bought nothing yet today. It is mid-season.",0.15,"Need probability. High income, rare buyer, premium stall price 6, bought last week, none today, mid-season. Likely low chance maybe 15%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has already bought 1 item(s) today, spending about 2. It is mid-season.",0.35,"Need probability. High income, rare buyer, premium stall price 6, has bought 2 weeks running (so habit), already bought 1 today spending ~2 (maybe earlier). Mid-season. Likely to buy again? Maybe moderate low. I'll give 35."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is early in the season.",0.18,"Need probability. High income, rare buyer, premium stall, price 6, regular for 2 weeks, none today, early season. Likely low but some loyalty. Maybe 20%."
"a high-income shopper, who rarely buys overall, is at a premium stall priced at 6.00. The shopper has bought here 2 weeks running and has bought nothing yet today. It is late in the season.",0.15,"Need probability. High income, rare buyer, premium stall, price 6, two weeks running, none today, late season. Likely low chance maybe 15%."
